new_id,id,product_name,segment,family,class,brick
1,0,WESSON Vegetable Oil 1 GAL,Food/Beverage,Oils/Fats Edible,Oils/Fats Edible,Oils/Fats Edible - Liquid
2,2,CAMPBELL'S SLOW KETTLE SOUP CLAM CHOWDER,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
3,3,CAMPBELL'S SLOW KETTLE SOUP CHEESE BROCCOLI,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
4,10,CAMPBELL'S SOUP BEAN AND HAM,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
5,12,PREGO SAUCES TOMATO BASIL,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable)
6,13,CAMPBELL'S SOUP TOMATO,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
7,19,PEPPERIDGE FARM BREAD TUSCAN,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
8,20,PEPPERIDGE FARM BREAD GARLIC,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
9,22,PEPPERIDGE FARM COOKIES GINGER,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
10,23,PEPPERIDGE FARM BREAD TUSCAN,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
11,24,PEPPERIDGE FARM COOKIES GRAHAM CHOCOLATE,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
12,25,PEPPERIDGE FARM BREAD FOCACCIA,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
13,26,PEPPERIDGE FARM PASTRY PEACH,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Cakes/Pastries (Perishable)
