id,segment,family,class,brick,product_name
0,food beverage,oils fats edible,oils fats edible,oils fats edible liquid,wesson vegetable oil gal
1,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,soup ready to eat shelf stable,campbell s slow kettle soup clam chowder
2,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,soup ready to eat shelf stable,campbell s slow kettle soup cheese broccoli
3,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,soup ready to eat shelf stable,campbell s soup bean and ham
4,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,prego sauces tomato basil
5,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,soup ready to eat shelf stable,campbell s soup tomato
6,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread tuscan
7,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread garlic
8,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm cookies ginger
9,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread tuscan
10,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm cookies graham chocolate
11,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread focaccia
12,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,pepperidge farm pastry peach
13,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread multigrain
14,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread olive batard
15,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread cheese
16,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm crackers cheddar
17,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm cookies
18,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread ciabatta
19,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm cookies
20,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,pepperidge farm pastry cherry
21,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm cookies
22,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread garlic
23,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm cookies smores
24,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread
25,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm cookies strawberry
26,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm cookies peppermint
27,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread sesame
28,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread ciabatta
29,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm cookies
30,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread white batard
31,food beverage,bread bakery products,bread bakery products,bread perishable,pepperidge farm bread european baguette
32,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm crackers
33,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm cookies milano
34,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,soup ready to eat shelf stable,campbell s soup chicken dumpling
35,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,soup ready to eat shelf stable,campbell s chunky soup beef vegetable
36,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm crackers cheddar jack
37,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,pepperidge farm cookies butter pecan
38,food beverage,fruits vegetables nuts seeds prepared processed,vegetables prepared processed,vegetables prepared processed shelf stable,original real vegetable chips original
39,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,oatmeal raisin with walnuts softbaked cookies oatmeal raisin with walnuts
40,food beverage,bread bakery products,bread bakery products,bread perishable,wheat sub rolls wheat sub
41,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,original chocolate chip cookies original chocolate chip
42,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,cocoa creme filled dark chocolate raspberry orange
43,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,el mexicano salsa verde mexican green sauce
44,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,choco mint chip premium ice cream choco mint chip
45,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,organic morning supergrain smoothie pear pineapple
46,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,morning multilingual crunch bites purple berry carrot
47,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,tri color pasta semolina plain sundried tomato spinach
48,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,cinna apple walnut instant hot cereal cinna apple walnut
49,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,brown sugar and maple with flax chia gluten free oatmeal brown sugar and maple
50,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,taco seasoning mix taco
51,food beverage,bread bakery products,bread bakery products,bread perishable,sweet multigrain rolls
52,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,gummy briteworms
53,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,gummy bears
54,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,gummy watermelon rings
55,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,gems milk chocolate
56,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,caramels flavored milk maid candy caramels
57,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,tomato juice from concentrate tomato
58,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,gluten free pasta fusilli no
59,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,yogurt perishable,blueberry yogurt toasted almond bits rolled oats chia seeds blueberry
60,food beverage,fruits vegetables nuts seeds prepared processed,vegetables prepared processed,vegetables prepared processed shelf stable,diced jalapenos
61,food beverage,bread bakery products,bread bakery products,bread perishable,golden sesame old fashioned hamburger buns golden sesame
62,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,white grape peach flavored juice cocktail blend from concentrate white grape peach
63,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,original tartar sauce original
64,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,orange juice from concentrate orange
65,food beverage,bread bakery products,bread bakery products,bread perishable,sprouted whole grains reduced sodium bread whole grains
66,food beverage,bread bakery products,bread bakery products,bread perishable,sprouted whole grains bread whole grains
67,food beverage,bread bakery products,bread bakery products,bread perishable,sprouted whole grains dinner rolls sprouted whole grains
68,food beverage,bread bakery products,bread bakery products,bread perishable,sprouted whole grains rye bread whole grains rye
69,food beverage,bread bakery products,bread bakery products,bread perishable,seven grain baguette sprouted bread seven grain baguette
70,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,original mixed up salt marinade seasoning original
71,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,barbecue rub barbecue
72,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,honey hickory flavored rub honey hickory
73,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,almond nut clusters snack bites almond nut clusters
74,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,mango strawberry almond rice sticks snack bites mango strawberry almond rice sticks
75,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,almond rice sticks with seaweed snack bites almond rice sticks with seaweed
76,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,coffee cake vegan pound cake coffee cake
77,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,peanut brittle crunch
78,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,vanilla almonds whole grain oat clusters with sliced almonds honey granola vanilla almonds
79,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,whole wheat organic pasta rigatoni
80,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,garden salsa garden
81,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,multigrain puffins cereal multigrain
82,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,toasted coconut flavored almonds toasted coconut
83,food beverage,bread bakery products,bread bakery products,bread perishable,grains with chia bread grains with chia
84,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,seasonal apple cinnamon sponge cakes with jelly filling seasonal apple cinnamon
85,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,berry colossal crunch cereal berry colossal crunch
86,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,rich frosted donuts rich frosted
87,food beverage,cereal grain pulse products,breakfast cereals,cereal granola bars,cookies cream granola bars cookies cream
88,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,maple pecan raisin super grains multigrain oatmeal plump raisins chopped pecans cranberries maple flavor quinoa and flaxseed maple pecan raisin
89,food beverage,bread bakery products,bread bakery products,bread perishable,everything real jewish rye bread everything
90,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,cinnamon oatmeal squares crunchy oat cereal cinnamon
91,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,salt
92,food beverage,bread bakery products,bread bakery products,bread perishable,fisherman s wharf style extra sourdough bread fisherman s wharf style
93,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,sweet and sour mystery mix mysterious green apple sour lemon
94,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,chocolate truffles chocolate
95,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,green apple lemon strawberry candy canes green apple lemon strawberry
96,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,grapefruit cold pressed juice grapefruit
97,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,crunchy cinnamon squares crunchy cinnamon
98,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,chocolate chip cookies chocolate chip
99,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,organic rip s power up bowl double berry hot cereal berry
100,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,pink snowballs snack cakes
101,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,milk liquid perishable,chocolate lowfat milk chocolate
102,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,orange juice orange
103,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,oats flax ginger snap instant oatmeal oats flax ginger snap
