new_id,id,product_name,predicted_segment,predicted_family,predicted_class,predicted_brick
1,0,WESSON Vegetable Oil 1 GAL,Food/Beverage,Oils/Fats Edible,Oils/Fats Edible,Oils/Fats Edible - Liquid
2,1,SWANSON BROTH BEEF,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
3,2,CAMPBELL'S SLOW KETTLE SOUP CLAM CHOWDER,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
4,3,CAMPBELL'S SLOW KETTLE SOUP CHEESE BROCCOLI,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
5,9,SWANSON BROTH CHICKEN,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
6,10,CAMPBELL'S SOUP BEAN AND HAM,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
7,11,SWANSON BROTH BEEF,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
8,12,PREGO SAUCES TOMATO BASIL,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable)
9,13,CAMPBELL'S SOUP TOMATO,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
10,15,CAMPBELL'S PASTA SPAGHETTIOS W FRANKS,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable)
11,16,BUSH'S Bourbon and Brown Sugar Grillin' Beans 22 oz,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable)
12,17,BUSH'S Organic Garbanzo Beans 110 oz,Food/Beverage,Cereal/Grain/Pulse Products,Pulses/Legumes,Pulses/Legumes - Unprepared/Unprocessed (Shelf Stable)
13,18,BUSH'S Smokehouse Tradition Grillin' Beans 22 oz,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable)
14,19,PEPPERIDGE FARM BREAD TUSCAN,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
15,20,PEPPERIDGE FARM BREAD GARLIC,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
16,21,SWANSON BROTH CHICKEN,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
17,22,PEPPERIDGE FARM COOKIES GINGER,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
18,23,PEPPERIDGE FARM BREAD TUSCAN,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
19,24,PEPPERIDGE FARM COOKIES GRAHAM CHOCOLATE,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
20,25,PEPPERIDGE FARM BREAD FOCACCIA,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
21,26,PEPPERIDGE FARM PASTRY PEACH,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Cakes/Pastries (Perishable)
22,27,PEPPERIDGE FARM BREAD MULTIGRAIN,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
23,28,PEPPERIDGE FARM BREAD OLIVE BATARD,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
24,29,PEPPERIDGE FARM BREAD CHEESE,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
25,30,PEPPERIDGE FARM CRACKERS CHEDDAR,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
26,31,PEPPERIDGE FARM COOKIES,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
27,32,SWANSON BROTH BEEF,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
28,33,PEPPERIDGE FARM BREAD CIABATTA,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
29,34,PEPPERIDGE FARM COOKIES,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
30,35,SWANSON BROTH CHICKEN,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
31,36,PEPPERIDGE FARM PASTRY CHERRY,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Cakes/Pastries (Perishable)
32,37,PEPPERIDGE FARM COOKIES,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
33,38,PEPPERIDGE FARM BREAD GARLIC,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
34,39,PEPPERIDGE FARM COOKIES SMORES,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
35,40,SWANSON BROTH BEEF,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
36,41,PEPPERIDGE FARM BREAD,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
37,42,PEPPERIDGE FARM COOKIES STRAWBERRY,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
38,43,PEPPERIDGE FARM COOKIES PEPPERMINT,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
39,44,SWANSON BROTH BEEF-LOW SODIUM,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
40,45,PEPPERIDGE FARM BREAD SESAME,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
41,46,PEPPERIDGE FARM BREAD CIABATTA,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
42,47,PEPPERIDGE FARM COOKIES,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
43,48,SWANSON BROTH VEGETABLE,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
44,50,PEPPERIDGE FARM BREAD WHITE BATARD,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
45,51,PEPPERIDGE FARM BREAD EUROPEAN BAGUETTE,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
46,52,BUSH'S Organic Pinto Beans 110 oz,Food/Beverage,Cereal/Grain/Pulse Products,Pulses/Legumes,Pulses/Legumes - Unprepared/Unprocessed (Shelf Stable)
47,53,PEPPERIDGE FARM CRACKERS,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
48,54,PEPPERIDGE FARM COOKIES MILANO,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
49,55,BUSH'S BEST Easy Entrees Texas Ranchero 108 oz,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable)
50,115,CAMPBELL'S SOUP CHICKEN & DUMPLING,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
51,116,CAMPBELL'S CHUNKY SOUP BEEF VEGETABLE,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
52,162,PEPPERIDGE FARM CRACKERS CHEDDAR JACK,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
53,163,PEPPERIDGE FARM COOKIES BUTTER PECAN,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
54,177,PEPPERIDGE FARM COOKIES DARK CHOCOLATE,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
55,181,CHOCOLATE CHIP COOKIES,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
56,183,WALNUT HALVES & PIECES,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (Perishable),Tree Nuts,Tree Nuts - Unprepared/Unprocessed (Perishable)
57,188,"ORIGINAL REAL VEGETABLE CHIPS, ORIGINAL",Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
58,189,MULTI-GRAIN TORTILLA CHIPS,Food/Beverage,Cereal/Grain/Pulse Products,None of the provided categories are appropriate for MULTI-GRAIN TORTILLA CHIPS.,
59,193,"ORIGINAL CREAM CHEESE, ORIGINAL",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,
60,207,"OATMEAL RAISIN WITH WALNUTS SOFTBAKED COOKIES, OATMEAL RAISIN WITH WALNUTS",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
61,208,"FIG BARS, FIG",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable)
62,209,"SOUR CREAM & ONION POTATO CHIPS, SOUR CREAM & ONION",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable)
63,212,"WHEAT SUB ROLLS, WHEAT SUB",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
64,213,GARDEN VEGETABLE DIP MIX,Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Herbs/Spices - Dried
65,216,THE GOOD HEALTH CHEESE ALTERNATIVE,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Substitutes,
66,218,BAKED PRETZEL RODS,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
67,221,"FUDGE PEANUT BUTTER FILLED COOKIES, FUDGE PEANUT BUTTER",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
68,222,"ORIGINAL CHOCOLATE CHIP COOKIES, ORIGINAL CHOCOLATE CHIP",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
